year,region,round,t1Name,t1Rank,t1Score,t1Win,t2Name,t2Rank,t2Score,t2Win
2013,"Midwest Regional – Indianapolis, Indiana",round1,Louisville,1,79,True,North Carolina A&T,16,48,False
2013,"Midwest Regional – Indianapolis, Indiana",round2,Louisville,1,82,True,Colorado State,8,56,False
2013,"Midwest Regional – Indianapolis, Indiana",round1,Colorado State,8,84,True,Missouri,9,72,False
2013,"Midwest Regional – Indianapolis, Indiana",round3,Louisville,1,77,True,Oregon,12,69,False
2013,"Midwest Regional – Indianapolis, Indiana",round1,Oklahoma State,5,55,False,Oregon,12,68,True
2013,"Midwest Regional – Indianapolis, Indiana",round2,Oregon,12,74,True,Saint Louis,4,57,False
2013,"Midwest Regional – Indianapolis, Indiana",round1,Saint Louis,4,64,True,New Mexico State,13,44,False
2013,"Midwest Regional – Indianapolis, Indiana",round4,Louisville,1,85,True,Duke,2,63,False
2013,"Midwest Regional – Indianapolis, Indiana",round1,Memphis,6,54,True,Saint Mary's,11,52,False
2013,"Midwest Regional – Indianapolis, Indiana",round2,Memphis,6,48,False,Michigan State,3,70,True
2013,"Midwest Regional – Indianapolis, Indiana",round1,Michigan State,3,65,True,Valparaiso,14,54,False
